neo4j_user,user_id,rank,neo4j_resource,resource_id,rel,neo4j_course,course_id
12435052,"""U_1000454""",1,8643677,"""V_7396061""",[:HAS_RESOURCES],8398470,"""C_2199449"""
12435384,"""U_1002784""",1,8583726,"""V_4411676""",[:HAS_RESOURCES],8397555,"""C_1756056"""
12435384,"""U_1002784""",2,8583728,"""V_4411678""",[:HAS_RESOURCES],8397555,"""C_1756056"""
12435384,"""U_1002784""",3,8583730,"""V_4411680""",[:HAS_RESOURCES],8397555,"""C_1756056"""
12442004,"""U_100281""",1,8592477,"""V_4678102""",[:HAS_RESOURCES],8397639,"""C_1764867"""
12442004,"""U_100281""",1,8544636,"""V_731719""",[:HAS_RESOURCES],8397010,"""C_747033"""
12442004,"""U_100281""",2,8544637,"""V_731722""",[:HAS_RESOURCES],8397010,"""C_747033"""
12442004,"""U_100281""",3,8544635,"""V_731716""",[:HAS_RESOURCES],8397010,"""C_747033"""
12442004,"""U_100281""",1,8592339,"""V_4677748""",[:HAS_RESOURCES],8397638,"""C_1764866"""
12909470,"""U_10033817""",2,8403591,"""V_1642632""",[:HAS_RESOURCES],8395192,"""C_676642"""
12909470,"""U_10033817""",3,8403590,"""V_1642631""",[:HAS_RESOURCES],8395192,"""C_676642"""
12909470,"""U_10033817""",1,8403562,"""V_1642603""",[:HAS_RESOURCES],8395192,"""C_676642"""
12435541,"""U_1004646""",1,8625597,"""V_6293315""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435547,"""U_1004659""",1,8625577,"""V_6293270""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435549,"""U_1004662""",1,8625577,"""V_6293270""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435549,"""U_1004662""",2,8625650,"""V_6293464""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435552,"""U_1004670""",2,8625575,"""V_6293261""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435552,"""U_1004670""",1,8625574,"""V_6293257""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435594,"""U_1004954""",6,8625582,"""V_6293288""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435594,"""U_1004954""",4,8625580,"""V_6293280""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435594,"""U_1004954""",3,8625579,"""V_6293279""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435594,"""U_1004954""",2,8625578,"""V_6293274""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435594,"""U_1004954""",1,8625572,"""V_6293250""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435594,"""U_1004954""",5,8625581,"""V_6293285""",[:HAS_RESOURCES],8398137,"""C_735164"""
12435617,"""U_1005254""",2,8625578,"""V_6293274""",[:HAS_RESOURCES],8398137,"""C_735164"""
