feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
0.16453294,0.14832878,0.08243586,0.057850238,-0.05414118,0.16904147,0.023921778,0.09215438,0.023778211,-0.006315193,-0.18351705,0.12951058,-0.052583005,-0.08568759,0.08690138,0.1044466,-0.0133325495,-0.0438582,0.08386434,0.07614651,0.15186545,-0.07236991,0.07813392,-0.10026533,0.059744183,-0.05345536,-0.08699303,-0.0955636,0.11043371,0.19303246,0.012367897,0.23175478,-0.027367044,0.07559396,0.14593586,-0.15100001,-0.002888611,-0.059135363,-0.13035023,0.21803012,0.31199238,0.070663325,-0.07358599,-0.019424038,-0.14284593,0.20727494,0.02944732,-0.034538247,0.023131523,0.25047126,0.11207806,0.017107511,0.12098933,-0.15373974,0.19521575,0.13379768,-0.0039396784,0.07751757,0.11846661,0.007206204,-0.23335905,0.12688847,-0.16231757,-0.10872509
-0.06586986,-0.00914336,0.08774971,0.0003977715,-0.033744834,0.037179805,0.06224412,0.09159516,-0.011961799,0.021287397,-0.0987538,0.11329764,-0.056873024,-0.010205722,-0.034960505,0.030199619,0.025761029,-0.036185157,0.061667338,0.10008379,0.08992006,0.058238663,-0.045794673,0.042619012,-0.1506334,-0.25625002,-0.061919544,-0.14610647,0.17353477,0.026883243,0.021360308,0.087931864,0.0036687742,0.04410698,-0.039143275,-0.007321963,0.048767813,0.026151078,-0.028732352,0.016612021,0.12467704,-0.0048051863,0.032128394,-0.10515495,0.05694627,0.10449609,-0.051286258,0.032003064,0.06445191,0.04348493,0.013027388,0.06350158,-0.07095624,-0.13535696,0.019697199,0.008687197,0.018382665,0.0061341356,-0.00535972,-0.048866563,-0.01498463,-0.04244314,0.13994041,-0.07695863
-0.015147236,0.028978704,0.0015419188,0.12938683,-0.085281804,0.038102906,0.1365937,-0.04334072,0.0026039693,0.033407725,-0.0819594,-0.11672626,-0.07909321,0.015103447,-0.1712491,-0.04620248,0.066921644,0.10298256,-0.10977398,-0.068345815,-0.115138054,0.1663723,0.06614285,0.19548106,-0.03811013,-0.08559022,-0.23271722,-0.25115976,-0.04400103,0.114032745,-0.058931913,-0.065166265,-0.09818038,-0.00972099,-0.004745141,0.18354256,-0.008070329,-0.047368217,0.10411508,0.040998153,-0.044682723,0.030972887,0.053108476,-0.0010145425,0.13716026,0.050116234,0.014369274,-0.10719444,-0.027464865,-0.23452424,0.04581714,0.095114686,0.02390099,-0.0006536728,-0.09685965,-0.032484118,0.08048085,-0.04585634,-0.09287241,0.07197802,-0.0013067581,0.029160677,-0.084339455,0.09879974
-0.24269748,-0.05555414,-0.27484027,-0.13178118,0.080365516,0.112030774,0.13828203,-0.12062009,0.12449524,0.22005849,0.02826941,-0.04434108,0.06215534,0.24662891,0.022942841,-0.11579375,0.06882655,-0.013153147,-0.044575777,-0.19210334,-0.08120883,-0.010232029,-0.01866017,0.07032425,0.08354743,0.16517822,0.019279987,-0.025078997,0.053515438,0.05213121,0.0023724898,0.04525909,-0.03663569,-0.11815942,0.106863186,-0.010530109,-0.16088916,-0.00034069386,-0.18306476,-0.1889642,0.20110048,-0.15906869,0.08973001,0.0663506,0.037696503,0.085859686,-0.060988262,0.006421756,-0.0021195544,-0.07153063,-0.0008809169,0.030342553,-0.013480884,0.02067737,-0.049874116,-0.09466926,-0.06951702,-0.0022906505,-0.034515303,0.072922766,-0.0485669,0.066844314,-0.026702844,0.09906398
0.012615804,0.05822447,0.010774101,-0.033567574,-0.05718293,-0.039040715,-0.08116749,0.04034932,0.078150466,-0.024680115,-0.08252995,0.102683425,-0.061308593,0.022396902,0.005968865,0.049094103,-0.065374985,0.0019378591,0.055595804,0.11093607,-0.06538218,0.11452906,-0.01657581,0.01734984,-0.0066873156,-0.04607075,-0.017695732,-0.027119342,-0.018917566,-0.098341815,-0.20142756,-0.09001279,-0.09651109,0.102861464,0.11945368,-0.06549826,0.06246336,-0.06852366,-0.0846729,0.07647983,-0.0059338594,-0.00207203,-0.031642698,-0.11925679,-0.06342409,0.010512368,-0.0012565915,0.042812794,0.011784873,-0.08005545,-0.029274365,0.06234634,-0.008393551,0.038120616,-0.06859921,0.06950609,-0.032710005,0.05841436,0.010242871,0.09734732,-0.044818435,0.036738165,0.027409269,-0.0436778
0.051166322,0.1433585,0.022255855,0.085134685,-0.051916815,0.11371312,0.032249894,0.005597744,0.13391085,-0.00518538,-0.07412682,0.08598517,-0.12560387,-0.018585058,0.005409491,0.006106819,-0.1280011,-0.1779324,-0.09826762,0.060763434,0.012688659,-0.009636205,0.08786084,-0.058886394,0.08873123,0.03121175,0.015492471,0.05682076,0.056522667,-0.07622818,-0.07572885,-0.08013717,-0.09441286,-0.018686363,0.07970847,-0.1436238,0.20247887,0.06647926,0.029141663,0.055183064,-0.019717706,0.1278572,-0.033326257,-0.07453514,-0.062682934,0.05674095,0.03335346,-0.07354354,0.17134376,-0.08772976,-0.06776709,0.0027796119,0.13676974,0.015547054,-0.036290266,0.06539646,0.042287953,0.094214596,0.058913637,0.010774659,-0.11199004,-0.022866305,-0.011730641,-0.0709131
0.06432522,0.14411177,0.04394872,0.04267621,-0.042750984,0.04951636,0.055195585,0.05906679,0.12093361,-0.032316595,-0.04916623,0.106099695,-0.12738569,-0.0069219745,-0.0072353724,0.022767125,-0.12257462,-0.15249269,-0.09223078,0.079459086,-0.025203055,-0.024936432,0.10997287,-0.015100811,0.05692511,0.055547066,0.015547859,0.10973351,0.094757274,-0.032623135,-0.036831226,-0.039157856,-0.06527131,0.028761933,0.055691693,-0.16283609,0.17792349,0.080389716,-0.008836323,0.04488755,-0.061603207,0.09001702,-0.031240009,-0.1139795,-0.036338747,0.06636232,0.073383994,-0.08829704,0.19309755,-0.06377848,-0.07769345,0.0034127128,0.1243625,-0.005886583,-0.028751932,0.03960116,0.022283532,0.06383384,0.0260425,0.044428214,-0.06385154,-0.0026224612,-0.029253652,-0.08467575
0.05312625,0.0007648269,0.12220972,0.1501044,-0.019014211,0.012723301,0.0013142433,-0.037177496,0.1198016,-0.049432375,-0.03541586,0.21060224,-0.045051396,-0.09616259,0.035090934,0.2044549,-0.07997607,-0.04781663,-0.022947287,-0.025778027,0.018565403,0.10874101,-0.0064536245,-0.10030083,0.018928194,0.029405417,0.10103566,0.11322512,0.13156839,-0.06284989,-0.14572129,0.0649742,-0.081512384,0.1104511,0.1195597,-0.11977904,0.104969785,-0.11359445,-0.07457431,0.08253108,-0.058587734,0.12854901,-0.112642914,-0.23204762,-0.051948644,0.06935792,-0.021647038,-0.14845605,0.039705284,-0.105861574,-0.15397486,0.067901194,0.20401861,0.06372552,-0.035608083,0.20650144,0.11563405,0.11009075,-0.003604574,0.18291904,-0.119250126,0.037040103,0.07908063,-0.16204019
-0.006702124,0.12942854,0.08821606,0.07579371,-0.045752857,-0.06470064,0.044091783,0.0041287895,0.06909562,-0.13744476,-0.12765656,0.054819554,-0.1108383,0.08280199,-0.020714186,0.071222745,-0.041917965,-0.13057165,-0.048243344,0.01681445,-0.039008338,0.07938589,0.033425894,-0.04400565,0.111252286,0.020383151,0.09491298,0.052963324,0.09743247,-0.05854513,-0.01948606,-0.04454241,-0.09359959,0.04521959,-0.010471703,-0.0188877,0.19888552,0.018314792,-0.04380884,0.080636,0.002463616,0.060677636,-0.05803606,-0.18636383,-0.010246935,0.11839145,0.0014009505,-0.098162256,0.08474097,0.013665071,-0.1814096,0.03986009,0.18461734,0.14869992,0.02461736,0.02890987,0.12491614,0.03923104,-0.028715942,0.10160749,-0.07395823,0.02788299,0.04849386,-0.057373725
0.063213654,0.13104954,0.10781035,0.037836663,-0.087739825,0.058729604,0.04292941,0.030474043,0.13346983,-0.02414822,-0.039675295,0.060643595,-0.118225224,0.005882745,-0.041242644,0.025430651,-0.072536185,-0.112493716,-0.09167947,0.07947539,0.042635486,0.041807733,0.10062827,-0.04459599,0.06979514,-0.013080926,0.057160225,0.030867374,0.056171667,-0.033841953,-0.07828549,-0.072456345,-0.058958873,0.036329675,0.020937387,-0.13397737,0.20071137,0.122933775,-0.03948245,0.017348198,-0.024683977,0.034200344,-0.048946083,-0.08877815,-0.012612579,0.07706986,0.032521598,-0.055244446,0.11060841,-0.02728292,-0.09048932,-0.007007409,0.11845699,0.049223404,0.051670223,0.09622405,0.12322814,0.119844876,0.031963114,0.062343154,-0.09669418,-0.036009133,0.026536636,0.0026943833
