feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
0.06725846,0.14606446,0.036172703,0.08825673,-0.1093481,0.008228796,-0.1436832,-0.010784844,0.17585215,-0.03325789,-0.12394087,0.16211341,-0.1005505,-0.031480286,0.26404274,0.24412052,0.045111742,-0.09219022,-0.0896966,0.057434022,0.057909887,-0.0030055891,0.12298314,-0.0016770607,0.277344,0.09189828,-0.09303295,0.10224788,0.1780561,-0.019661387,-0.10407597,-0.203488,-0.06115024,-0.008810542,0.117425464,0.03974603,0.21588054,0.08667296,-0.15945488,0.21164404,0.030086141,0.19506693,-0.15301065,-0.031422842,-0.13398091,0.13048851,0.123118535,-0.12088212,0.09235053,0.1279251,-0.023882922,0.1668509,0.038474496,0.11853731,0.18112592,-0.020468734,0.036696956,0.03547038,0.146104,0.15562026,-0.11366069,-0.015081695,-0.09951651,-0.045669883
-0.05383908,-0.14821257,-0.036091655,-0.094725944,0.07403463,0.045824885,-0.03271387,-0.044695873,-0.055462208,0.22212459,-0.05769917,0.010833664,0.07318991,-0.031837065,-0.120028816,-0.011639844,0.020323956,-0.14470682,0.06720813,-0.054029565,0.052610423,0.077879235,-0.06344485,-0.008017739,-0.13199687,-0.078461096,0.09616563,-0.047017947,0.04018329,0.13344924,0.09878236,0.032743827,-0.057507027,0.061474215,0.002694592,-0.13429865,-0.046667367,-0.0071272035,-0.075957246,-0.0481335,0.1885053,0.030785229,0.072857074,0.11900018,0.15483284,0.19442867,-0.21839716,0.013442585,0.08236193,-0.0798449,0.0919967,0.16773258,-0.08348353,-0.01519357,-0.03581058,0.023559326,0.10396982,-0.050776128,-0.026171485,0.11842681,0.025265578,0.029983824,-0.0453195,0.03215767
-0.13152574,-0.033569455,0.081354536,0.09313144,-0.007138942,0.05257412,0.13018371,-0.1751111,0.025793038,0.019053387,0.045182798,-0.05154964,-0.04720421,0.11497124,-0.20744875,-0.033075646,0.12341881,0.016542606,-0.13629942,-0.11742552,-0.102682374,0.2416668,-0.03270588,0.24219663,-0.020094896,-0.00635967,-0.09599322,-0.04146435,0.03790249,0.010846641,-0.026349762,0.04313981,-0.101860374,-0.060125932,-0.014098391,-0.006572801,0.008628306,-0.033744372,0.100932434,-0.018582145,-0.054603703,-0.022027228,0.05250552,0.034979098,0.15532088,0.030230029,-0.07666251,-0.050595254,0.038994372,-0.0029895538,0.032549143,0.052688517,-0.0010004934,0.01460164,-0.12071225,-0.009459724,0.0054057357,-0.038497735,-0.106138565,0.16396269,0.018454866,-0.057147812,0.10187689,0.059930403
-0.2383822,-0.042762868,-0.10983581,-0.12058759,0.08796791,0.10281023,0.038421907,-0.13695386,-0.051762428,0.024056798,0.07525578,0.15711756,-0.13596244,-0.074134484,-0.07325158,-0.0029564272,-0.03653303,-0.10748954,0.024311947,-0.08189351,-0.05402985,-0.024873849,-0.19114284,0.0961258,0.029792868,0.03532978,0.061634135,-0.0014718906,0.12073145,0.11417404,0.07650606,0.12317156,-0.04366272,0.013837371,0.11991017,-0.15603025,-0.00025979098,0.010188916,-0.18091196,-0.07396066,0.2176395,-0.0683643,0.04970439,0.07985695,0.11299331,0.053158198,-0.064379305,0.0119854715,-0.05105953,0.08151737,0.047822885,0.11103647,-0.18867648,-0.11339267,0.036013376,-0.03606596,-0.091527104,0.027146503,-0.06988414,0.10837591,-0.050860394,0.030707095,0.09661788,0.07787101
0.041731972,-0.1731903,-0.0695612,-0.2545768,0.023839634,-0.10969864,-0.07183632,-0.24052149,0.17294843,-0.07607926,0.014124808,-0.020691795,-0.07524414,-0.06438228,-0.11699644,-0.029510666,-0.23481153,-0.10273787,0.020674378,0.11004179,-0.07793563,0.13512288,-0.06662229,0.0059533357,-0.020650044,-0.02145303,0.058419593,-0.013195759,-0.09235446,0.07134929,-0.045824762,-0.021813357,-0.035592422,0.112813674,0.21021026,-0.17477268,0.04479553,0.041396443,-0.1582668,0.045562055,0.100009084,-0.053661477,0.036772925,0.10876498,0.04159338,-0.08783714,0.03643101,0.028710004,-0.10534015,0.051511366,-0.013620887,0.06355533,-0.06635619,-0.09992185,-0.09469822,0.10728167,-0.15667628,0.0528067,-0.011434962,-0.00795121,-0.03091409,0.029110521,-0.019354716,0.025161648
0.012649613,-0.05918615,-0.12174533,-0.031798437,-0.02600366,0.11908637,-0.07457148,-0.13149306,0.053655658,0.050911542,-0.020761272,0.15072708,-0.04188242,-0.15518944,-0.07171854,0.03641256,-0.19691032,-0.28777313,0.023427019,0.02542063,0.10792164,0.038254563,-0.04665913,-0.09727526,0.18187845,0.030763768,0.084507704,0.07770973,0.12459637,-0.15606277,-0.1664291,-0.16123222,-0.022443222,0.0838765,0.15902783,-0.25200704,0.2114765,-0.07798864,-0.10260928,0.108227804,0.071205236,0.062360615,-0.09323989,0.0870373,-0.013722964,0.029959613,-0.059672214,0.035436127,-0.055678885,-0.042709164,-0.046819787,0.10548786,0.061229635,-0.002275551,-0.08585589,0.15298638,-0.012723249,0.054280367,0.039532885,0.14190406,-0.052350506,0.002712574,-0.010272907,-0.07350507
0.019528225,-0.044544008,-0.09009532,-0.065033086,-0.036030687,0.06328315,-0.03252401,-0.09118104,0.07774156,0.028216517,-0.006467519,0.21427892,-0.043109022,-0.16189106,-0.11044472,0.051579196,-0.22816427,-0.2620714,0.010613317,0.03980066,0.05625318,0.053277474,-0.0076264404,-0.063304365,0.14506847,0.03504916,0.08626783,0.1317087,0.16470061,-0.111114286,-0.14558397,-0.12791127,-0.03318068,0.1418202,0.19954081,-0.2416547,0.20205949,-0.074379936,-0.1411595,0.09988095,0.030583924,0.023459394,-0.08739259,0.049082663,0.020305557,0.039086312,-0.05335028,0.007586962,-0.057131,-0.050548986,-0.05020144,0.10076502,0.0706402,-0.0099668205,-0.05781269,0.16110161,-0.008453342,0.029333444,0.03808323,0.21293826,0.0035916034,0.032049302,-0.038897276,-0.0736855
0.08900617,-0.13666216,-0.05599935,-0.013094359,-0.019191865,0.07416836,-0.18983041,-0.14960305,0.06894143,-0.00011935048,0.047660723,0.25109166,0.032781024,-0.25082207,0.14236444,0.1071259,-0.12420358,-0.15343341,0.09619126,-0.00031563145,0.027043318,0.12393037,-0.011789878,-0.06442466,0.058140446,0.114409,0.15775572,0.11394767,0.17288055,-0.046753027,-0.20501442,-0.028435,-0.09226537,0.15690146,0.11479028,-0.18227836,0.16725273,-0.13130039,-0.26149082,0.120144665,0.027870404,0.21739967,-0.15610705,0.064710625,0.024958879,-0.12864089,-0.17705776,-0.014523245,-0.11483039,-0.08336643,0.0029745768,0.13409798,0.05629042,-0.017898982,-0.11850178,0.24677967,0.0888141,0.06488815,0.09136132,0.23441306,-0.089696035,0.044842336,-0.12340425,-0.17891411
-0.01693154,-0.1403968,-0.012266412,-0.083219536,-0.023252778,0.006868362,-0.113361545,-0.07930784,0.03300299,-0.04861174,-0.0377132,0.19675961,-0.03472367,-0.07521011,-0.011962995,-0.004261416,-0.118080616,-0.29612842,0.08208661,0.03529036,-0.06684423,0.12056728,-0.08933231,-0.052315753,0.12102163,0.019817755,0.12657282,0.059594307,0.14813851,-0.016209962,-0.04254358,-0.12470359,-0.12090952,0.11187822,0.12947239,-0.12307364,0.14402926,-0.031927604,-0.13854524,0.07510745,0.13243784,0.074678205,-0.046229675,0.11244042,0.12307349,0.019160112,-0.1350997,0.034915082,-0.15097849,-0.06781709,0.00538539,0.08865948,0.115315795,0.059250683,-0.059864666,0.13342524,-0.012377326,0.0052812826,0.05805956,0.19078642,-0.009497872,0.04230644,-0.06008372,-0.014697602
0.030910762,-0.085039705,-0.011432234,-0.077404805,-0.06932995,0.09747655,-0.09402724,-0.055401865,0.06433851,0.007800076,0.015698982,0.16695306,-0.016977437,-0.13674939,-0.04739234,0.052568976,-0.117232665,-0.23834743,0.05146701,0.07619404,0.08321633,0.086067356,-0.03695248,-0.0824041,0.13228475,0.012514474,0.11554101,0.08438966,0.15997109,-0.04730144,-0.18843873,-0.191066,-0.063679755,0.12140229,0.1468218,-0.23366228,0.2021391,0.007431253,-0.15850157,0.08671844,0.048611123,0.023259897,-0.10173997,0.09608619,0.034822103,-0.012840698,-0.077476956,0.054342248,-0.11066478,-0.07902922,0.0074637453,0.06856167,0.08486124,-0.020192275,-0.031004082,0.18494639,0.021699136,0.08813427,0.07444057,0.14578111,-0.049301244,-0.020945609,-0.08800609,-0.03601386
